X,Y,STATE_NAME,DRAWSEQ,STATE_FIPS,SUB_REGION,STATE_ABBR,Statename,sum(P_total),sum(P_below_middle_school),sum(P_some_high_school),sum(P_high_school_equivalent),sum(P_some_college),sum(P_bachelor_and_above),avg(P_below_poverty),avg(median_age),avg(gini_index),avg(median_household_income),avg(percent_no_internet)
-99.646798700896,31.16701918255,Texas,41,48,West South Central,TX,TX,24321465,1004088,1256308,3680259,4443583,4744349,69595.3396226415,34.9283018867924,0.456522641509434,56504.0943396226,16.9340468613827
-106.040603052782,34.0670008495745,New Mexico,42,35,Mountain,NM,NM,1433698,39351,79004,246403,306646,281202,28494.1111111111,36.7555555555556,0.462644444444444,48121.4444444444,25.2038742010828
-86.7371898655266,32.6157280612387,Alabama,43,1,East South Central,AL,AL,3630681,60595,227807,693571,745035,684085,26845.2380952381,38.8619047619048,0.461333333333333,47657.8571428571,19.5986720770277
-89.7017954440015,32.6020930676147,Mississippi,44,28,East South Central,MS,MS,1323725,18388,70285,239244,296384,229310,21835.9,36.47,0.45943,49744.4,21.5855799505758
-83.2515602964014,32.6814273129147,Georgia,45,13,South Atlantic,GA,GA,7810581,159993,372333,1249528,1450336,1786264,31210.1944444444,35.8861111111111,0.449319444444444,55194.8333333333,14.5158935122053
-80.561540363987,33.652286809752,South Carolina,46,45,South Atlantic,SC,SC,4212170,65821,237332,787067,884718,839004,28240.2380952381,39.2714285714286,0.462371428571429,49213.7619047619,19.245469980893
-92.4932216351361,34.7546601564387,Arkansas,47,5,West South Central,AR,AR,1673132,31168,77730,332773,329774,307358,22897.8181818182,36.8454545454545,0.453245454545455,48644.0909090909,18.7660478871892
-91.6466046715333,30.9804947807653,Louisiana,48,22,West South Central,LA,LA,3396087,59691,217717,713750,626127,600529,37718.2352941177,36.2764705882353,0.480223529411765,48015.7058823529,20.4443446182947
-81.6998153221731,28.1095956602475,Florida,49,12,South Atlantic,FL,FL,19970450,518209,1025045,4069455,4276385,4152102,69643.9268292683,44.9146341463415,0.463056097560976,51714.6341463415,14.0029202941301
-86.6266032363056,46.1585448976406,Michigan,50,26,East North Central,MI,MI,8469754,107510,364370,1585574,1875909,1720173,42416.7586206897,39.5344827586207,0.447513793103448,54352.5517241379,15.5062092872163
-152.006152151092,63.0822818255832,Alaska,51,2,Pacific,AK,AK,204970,1261,4282,35796,53042,32098,9736.5,32.4,0.40535,73330.0,11.62951631271
